,words,letter,diversity,ranking
184,aireo,eriao,1.0,0.5468619246861925
228,alero,erlao,1.0,0.5377615062761506
3130,olear,erlao,1.0,0.5377615062761506
3783,roela,erlao,1.0,0.5377615062761506
321,anero,ernao,1.0,0.5308054393305439
116,acroe,ercao,1.0,0.5301778242677824
3716,reoca,ercao,1.0,0.5301778242677824
1287,corea,ercao,1.0,0.5301778242677824
938,careo,ercao,1.0,0.5301778242677824
99,acero,ercao,1.0,0.5301778242677824
409,arilo,rliao,1.0,0.5242677824267783
481,aureo,eruao,1.0,0.5242677824267783
3670,reato,erato,1.0,0.5218619246861924
3182,otear,erato,1.0,0.5218619246861924
3655,rateo,erato,1.0,0.5218619246861924
3153,orate,erato,1.0,0.5218619246861924
0,airon,rinao,1.0,0.5173117154811715
3160,orina,rinao,1.0,0.5173117154811715
3067,noria,rinao,1.0,0.5173117154811715
185,airon,rinao,1.0,0.5173117154811715
3805,ronia,rinao,1.0,0.5173117154811715
3104,ociar,rciao,1.0,0.5166841004184101
943,cario,rciao,1.0,0.5166841004184101
18,coria,rciao,1.0,0.5166841004184101
3170,osear,esrao,1.0,0.514592050209205
3171,osera,esrao,1.0,0.514592050209205
3656,ratio,riato,1.0,0.50836820083682
472,atrio,riato,1.0,0.50836820083682
3798,ronal,rlnao,1.0,0.5082112970711297
1279,coral,rclao,1.0,0.5075836820083681
1189,claro,rclao,1.0,0.5075836820083681
1289,corla,rclao,1.0,0.5075836820083681
219,alcor,rclao,1.0,0.5075836820083681
946,carlo,rclao,1.0,0.5075836820083681
883,calor,rclao,1.0,0.5075836820083681
1239,colar,rclao,1.0,0.5075836820083681
2838,moare,ermao,1.0,0.5065899581589959
3639,rameo,ermao,1.0,0.5065899581589959
2708,mareo,ermao,1.0,0.5065899581589959
3615,rabeo,ebrao,1.0,0.5050732217573222
357,apero,erpao,1.0,0.5043933054393306
3149,opera,erpao,1.0,0.5043933054393306
3271,pareo,erpao,1.0,0.5043933054393306
419,arpeo,erpao,1.0,0.5043933054393306
3136,olura,rluao,1.0,0.501673640167364
2460,lauro,rluao,1.0,0.501673640167364
3800,ronca,rcnao,1.0,0.5006276150627615
17,coran,rcnao,1.0,0.5006276150627615
2981,narco,rcnao,1.0,0.5006276150627615
1280,coran,rcnao,1.0,0.5006276150627615
949,caron,rcnao,1.0,0.5006276150627615
385,arcon,rcnao,1.0,0.5006276150627615
3779,rodea,erdao,1.0,0.49994769874476985
267,altor,rlato,1.0,0.4992677824267782
4419,trola,rlato,1.0,0.4992677824267782
3818,rotal,rlato,1.0,0.4992677824267782
4347,toral,rlato,1.0,0.4992677824267782
2492,leona,elnao,1.0,0.4982740585774058
431,aruno,runao,1.0,0.4947175732217573
347,anuro,runao,1.0,0.4947175732217573
3827,ruano,runao,1.0,0.4947175732217573
984,cauro,rcuao,1.0,0.4940899581589958
3658,rauco,rcuao,1.0,0.4940899581589958
1302,corua,rcuao,1.0,0.4940899581589958
3640,ramio,rmiao,1.0,0.49309623430962346
2701,maori,rmiao,1.0,0.49309623430962346
4177,tanor,rnato,1.0,0.49231171548117153
344,antro,rnato,1.0,0.49231171548117153
4333,tonar,rnato,1.0,0.49231171548117153
4421,trona,rnato,1.0,0.49231171548117153
4361,torna,rnato,1.0,0.49231171548117153
3070,notar,rnato,1.0,0.49231171548117153
3657,raton,rnato,1.0,0.49231171548117153
4045,solar,srlao,1.0,0.4919979079497908
2607,losar,srlao,1.0,0.4919979079497908
3811,rosal,srlao,1.0,0.4919979079497908
4313,tocar,rcato,1.0,0.49168410041841
4349,torca,rcato,1.0,0.49168410041841
4192,tarco,rcato,1.0,0.49168410041841
119,actor,rcato,1.0,0.49168410041841
1299,corta,rcato,1.0,0.49168410041841
1312,cotar,rcato,1.0,0.49168410041841
699,boira,briao,1.0,0.4915794979079498
584,bario,briao,1.0,0.4915794979079498
725,boria,briao,1.0,0.4915794979079498
3274,pario,rpiao,1.0,0.49089958158995817
3217,pairo,rpiao,1.0,0.49089958158995817
3103,ocena,ecnao,1.0,0.49069037656903763
901,caneo,ecnao,1.0,0.49069037656903763
246,alier,erlia,1.0,0.490428870292887
1626,erial,erlia,1.0,0.490428870292887
230,aleto,elato,1.0,0.48933054393305436
1587,elato,elato,1.0,0.48933054393305436
464,atole,elato,1.0,0.48933054393305436
3156,oreja,erjao,1.0,0.48729079497907946
3121,ojera,erjao,1.0,0.48729079497907946
3152,oraje,erjao,1.0,0.48729079497907946
3120,ojear,erjao,1.0,0.48729079497907946
192,ajero,erjao,1.0,0.48729079497907946
3631,raido,rdiao,1.0,0.4864539748953975
2270,irado,rdiao,1.0,0.4864539748953975
3110,odiar,rdiao,1.0,0.4864539748953975
3624,radio,rdiao,1.0,0.4864539748953975
405,arido,rdiao,1.0,0.4864539748953975
4545,vareo,evrao,1.0,0.48593096234309624
3189,overa,evrao,1.0,0.48593096234309624
484,autor,ruato,1.0,0.4857740585774058
4502,urato,ruato,1.0,0.4857740585774058
4212,tauro,ruato,1.0,0.4857740585774058
56,tauro,ruato,1.0,0.4857740585774058
4071,sorna,srnao,1.0,0.4850418410041841
4055,sonar,srnao,1.0,0.4850418410041841
1928,gario,griao,1.0,0.48493723849372383
3158,orgia,griao,1.0,0.48493723849372383
166,agrio,griao,1.0,0.48493723849372383
250,alino,linao,1.0,0.4847803347280335
2598,loina,linao,1.0,0.4847803347280335
2435,lanio,linao,1.0,0.4847803347280335
2542,linao,linao,1.0,0.4847803347280335
1296,corsa,srcao,1.0,0.4844142259414226
3878,sacro,srcao,1.0,0.4844142259414226
1321,craso,srcao,1.0,0.4844142259414226
1282,coras,srcao,1.0,0.4844142259414226
3813,rosca,srcao,1.0,0.4844142259414226
2597,loica,cliao,1.0,0.48415271966527196
2413,lacio,cliao,1.0,0.48415271966527196
120,acueo,ecuao,1.0,0.48415271966527196
2422,laico,cliao,1.0,0.48415271966527196
108,acilo,cliao,1.0,0.48415271966527196
2879,moral,rmlao,1.0,0.48399581589958157
2711,marlo,rmlao,1.0,0.48399581589958157
2857,molar,rmlao,1.0,0.48399581589958157
3694,reina,erina,1.0,0.4834728033472804
2968,naire,erina,1.0,0.4834728033472804
1627,erina,erina,1.0,0.4834728033472804
861,caire,ercia,1.0,0.48284518828451883
703,bolar,brlao,1.0,0.48247907949790797
726,borla,brlao,1.0,0.48247907949790797
215,albor,brlao,1.0,0.48247907949790797
378,arbol,brlao,1.0,0.48247907949790797
2408,labor,brlao,1.0,0.48247907949790797
2410,labro,brlao,1.0,0.48247907949790797
3768,robla,brlao,1.0,0.48247907949790797
1651,etano,enato,1.0,0.4823744769874477
322,aneto,enato,1.0,0.4823744769874477
259,aloes,eslao,1.0,0.48206066945606696
4047,solea,eslao,1.0,0.48206066945606696
3233,palor,rplao,1.0,0.48179916317991633
3478,polar,rplao,1.0,0.48179916317991633
3534,proal,rplao,1.0,0.48179916317991633
970,cateo,ecato,1.0,0.48174686192468613
100,aceto,ecato,1.0,0.48174686192468613
1519,dolar,rldao,1.0,0.47735355648535566
1528,doral,rldao,1.0,0.47735355648535566
2442,lardo,rdlao,1.0,0.47735355648535566
3777,rodal,rldao,1.0,0.47735355648535566
2591,lodra,rdlao,1.0,0.47735355648535566
110,acion,cinao,1.0,0.47719665271966527
2712,maron,rmnao,1.0,0.4770397489539749
3794,roman,rmnao,1.0,0.4770397489539749
3641,ramon,rmnao,1.0,0.4770397489539749
3068,norma,rmnao,1.0,0.4770397489539749
412,armon,rmnao,1.0,0.4770397489539749
2652,macro,rcmao,1.0,0.4764121338912134
1290,corma,rcmao,1.0,0.4764121338912134
2840,mocar,rcmao,1.0,0.4764121338912134
2882,morca,rcmao,1.0,0.4764121338912134
2706,marco,rcmao,1.0,0.4764121338912134
4077,sotar,srato,1.0,0.4760983263598326
4202,tarso,srato,1.0,0.4760983263598326
429,artos,srato,1.0,0.4760983263598326
450,astro,srato,1.0,0.4760983263598326
3177,ostra,srato,1.0,0.4760983263598326
4157,talio,liato,1.0,0.475836820083682
2279,italo,liato,1.0,0.475836820083682
2592,logar,grlao,1.0,0.475836820083682
2444,largo,grlao,1.0,0.475836820083682
2253,ilota,liato,1.0,0.475836820083682
1930,garlo,grlao,1.0,0.475836820083682
3618,rabon,brnao,1.0,0.4755230125523012
585,baron,brnao,1.0,0.4755230125523012
579,barco,brcao,1.0,0.4748953974895398
1208,cobra,brcao,1.0,0.4748953974895398
767,broca,brcao,1.0,0.4748953974895398
840,cabro,brcao,1.0,0.4748953974895398
744,braco,brcao,1.0,0.4748953974895398
421,arpon,rpnao,1.0,0.47484309623430965
4145,taire,eriat,1.0,0.4745292887029289
114,acose,escao,1.0,0.47447698744769873
1635,escoa,escao,1.0,0.47447698744769873
961,caseo,escao,1.0,0.47447698744769873
3706,renal,erlna,1.0,0.4743723849372385
2488,lenar,erlna,1.0,0.4743723849372385
1292,corpa,rcpao,1.0,0.4742154811715481
1275,copra,rpcao,1.0,0.4742154811715481
1267,copar,rpcao,1.0,0.4742154811715481
952,carpo,rcpao,1.0,0.4742154811715481
3267,parco,rpcao,1.0,0.4742154811715481
283,amelo,emlao,1.0,0.4740585774058577
295,amole,emlao,1.0,0.4740585774058577
3632,raijo,rjiao,1.0,0.47379707112970715
3751,rioja,rjiao,1.0,0.47379707112970715
408,arijo,rjiao,1.0,0.47379707112970715
2416,lacre,ercla,1.0,0.473744769874477
1017,celar,ercla,1.0,0.473744769874477
3619,racel,ercla,1.0,0.473744769874477
874,caler,ercla,1.0,0.473744769874477
937,carel,ercla,1.0,0.473744769874477
3196,oxear,erxao,1.0,0.47327405857740584
2404,labeo,eblao,1.0,0.47254184100418406
3096,oblea,eblao,1.0,0.47254184100418406
553,baleo,eblao,1.0,0.47254184100418406
4547,vario,vriao,1.0,0.4724372384937239
3480,polea,eplao,1.0,0.4718619246861925
3155,orear,erao,0.8,0.4710774058577406
145,aereo,erao,0.8,0.4710774058577406
424,arreo,erao,0.8,0.4710774058577406
2732,mauro,rmuao,1.0,0.4705020920502092
2982,nardo,rdnao,1.0,0.4703974895397489
1531,dorna,rdnao,1.0,0.4703974895397489
3803,ronda,rdnao,1.0,0.4703974895397489
1524,donar,rdnao,1.0,0.4703974895397489
3143,ondra,rdnao,1.0,0.4703974895397489
3625,radon,rdnao,1.0,0.4703974895397489
1286,corda,rcdao,1.0,0.4697698744769874
935,cardo,rcdao,1.0,0.4697698744769874
783,buaro,bruao,1.0,0.4689853556485356
326,angor,grnao,1.0,0.4688807531380753
2006,grano,grnao,1.0,0.4688807531380753
3644,rango,grnao,1.0,0.4688807531380753
401,argon,grnao,1.0,0.4688807531380753
333,anito,inato,1.0,0.46888075313807526
4143,taino,inato,1.0,0.46888075313807526
460,atino,inato,1.0,0.46888075313807526
2989,natio,inato,1.0,0.46888075313807526
3895,salio,sliao,1.0,0.46856694560669454
439,asilo,sliao,1.0,0.46856694560669454
252,aliso,sliao,1.0,0.46856694560669454
366,apuro,rpuao,1.0,0.4683054393305439
1203,coati,ciato,1.0,0.4682531380753138
1149,ciato,ciato,1.0,0.4682531380753138
941,cargo,grcao,1.0,0.4682531380753138
4316,tocia,ciato,1.0,0.4682531380753138
459,atico,ciato,1.0,0.4682531380753138
2414,lacon,clnao,1.0,0.46809623430962344
3050,nocla,clnao,1.0,0.46809623430962344
882,calon,clnao,1.0,0.46809623430962344
4385,tramo,rmato,1.0,0.4680962343096234
4329,tomar,rmato,1.0,0.4680962343096234
2417,ladeo,edlao,1.0,0.4674163179916318
4,aries,esria,1.0,0.4672594142259414
406,aries,esria,1.0,0.4672594142259414
2741,meano,emnao,1.0,0.46710251046025103
284,ameno,emnao,1.0,0.46710251046025103
3053,noema,emnao,1.0,0.46710251046025103
948,carne,ercna,1.0,0.4667887029288703
2955,nacre,ercna,1.0,0.4667887029288703
2953,nacer,ercna,1.0,0.4667887029288703
1041,cerna,ercna,1.0,0.4667887029288703
1026,cenar,ercna,1.0,0.4667887029288703
382,arcen,ercna,1.0,0.4667887029288703
4127,tabor,brato,1.0,0.4665794979079498
770,brota,brato,1.0,0.4665794979079498
4312,tobar,brato,1.0,0.4665794979079498
734,botar,brato,1.0,0.4665794979079498
2643,maceo,ecmao,1.0,0.46647489539748954
3173,oseta,esato,1.0,0.46616108786610877
4321,toesa,esato,1.0,0.46616108786610877
1701,farol,frlao,1.0,0.4661087866108786
1799,flora,frlao,1.0,0.4661087866108786
1823,foral,frlao,1.0,0.4661087866108786
3151,optar,rpato,1.0,0.46589958158995814
4423,tropa,rpato,1.0,0.46589958158995814
4341,topar,rpato,1.0,0.46589958158995814
3506,porta,rpato,1.0,0.46589958158995814
3515,potra,rpato,1.0,0.46589958158995814
3648,rapto,rpato,1.0,0.46589958158995814
4388,trapo,rpato,1.0,0.46589958158995814
3514,potar,rpato,1.0,0.46589958158995814
1901,galeo,eglao,1.0,0.46589958158995814
3282,parto,rpato,1.0,0.46589958158995814
1571,ebano,ebnao,1.0,0.4655857740585774
3723,retal,erlat,1.0,0.465428870292887
4230,telar,erlat,1.0,0.465428870292887
2501,letra,erlat,1.0,0.465428870292887
94,acebo,ebcao,1.0,0.4649581589958159
1204,cobea,ebcao,1.0,0.4649581589958159
2979,napeo,epnao,1.0,0.4649058577405858
3787,rojal,rljao,1.0,0.46469665271966526
254,aljor,rljao,1.0,0.46469665271966526
1614,epoca,epcao,1.0,0.46427824267782425
921,capeo,epcao,1.0,0.46427824267782425
2606,lorza,zrlao,1.0,0.46412133891213386
144,aduro,rduao,1.0,0.4638598326359833
3660,raudo,rduao,1.0,0.4638598326359833
391,arduo,rduao,1.0,0.4638598326359833
4643,volar,vrlao,1.0,0.463336820083682
4537,valor,vrlao,1.0,0.463336820083682
3166,oruga,gruao,1.0,0.46234309623430964
2062,guaro,gruao,1.0,0.46234309623430964
346,anulo,lunao,1.0,0.46218619246861925
4482,ulano,lunao,1.0,0.46218619246861925
3883,saino,sinao,1.0,0.46161087866108785
4352,torda,rdato,1.0,0.46145397489539747
1536,dotar,rdato,1.0,0.46145397489539747
4194,tardo,rdato,1.0,0.46145397489539747
3874,sacio,sciao,1.0,0.46098326359832636
2277,isoca,sciao,1.0,0.46098326359832636
436,ascio,sciao,1.0,0.46098326359832636
12,casio,sciao,1.0,0.46098326359832636
2543,linar,rlina,1.0,0.4608786610878661
3082,nuera,eruna,1.0,0.4608786610878661
413,armos,srmao,1.0,0.460826359832636
2890,morsa,srmao,1.0,0.460826359832636
2715,marso,srmao,1.0,0.460826359832636
249,alimo,mliao,1.0,0.46056485355648535
2187,honra,rhnao,1.0,0.4603556485355649
2124,haron,rhnao,1.0,0.4603556485355649
122,acure,ercua,1.0,0.4602510460251046
